DRIVER_ID
T20170017429-A
T20110021149-A
T20110004942-A
T20160015148-B
T20200005646-A
T20090008722-A
T20110004850-A
T20100034633-C
T20060003663-B
T20150016499-B
T20060029383-B
T20070037324-B
T20060042825-A
T20170002219-C
T20100032869-B
T20060040548-A
T20100023427-B
T20100004294-B
T20090036563-A
T20150007174-A
T20100037529-A
T20170001040-A
T20140011481-B
T20140010951-C
T20190011535-A
T20170006854-C
T20190020196-A
T20140003692-A
T20160020990-A
T20140021895-A
T20180001495-C
T20070008445-A
T20130019006-A
T20080015631-A
T20140023578-A
T20190006721-C
T20100037078-B
T20130010168-A
T20140004522-A
T20100042513-B
T20110008192-B
T20150026804-A
T20120026013-B
T20200014018-C
T20120002478-A
T20180021883-B
T20150025870-A
T20070041301-B
T20200016806-B
T20190003670-B
T20200011334-B
T20130016143-B
T20100050395-B
T20200010390-A
T20140010859-A
T20140018445-B
T20080047832-C
T20060043935-A
T20110007497-A
T20160024631-B
T20100001071-B
T20120020000-C
T20150009077-B
T20100024694-B
T20190003774-A
T20130017685-B
T20110027603-B
T20170002763-B
T20140006635-C
T20120008927-A
T20180016509-B
T20100003706-C
T20080033122-B
T20070010204-A
T20170009803-B
T20100003451-A
T20130008720-A
T20110026739-A
T20060003975-A
T20090039523-B
T20150016281-B
T20110013157-A
T20070021325-A
T20180006545-B
T20180023803-A
T20190000475-B
T20120019238-A
T20200005922-C
T20140019045-B
T20200012766-B
T20060002222-B
T20070003147-A
T20190022507-A
T20070041201-A
T20060000631-A
T20070017637-A
T20100047806-A
T20150005942-A
T20110029358-B
T20180010596-A
T20160006214-B
T20140015315-B
T20120014749-A
T20150003580-A
T20070027236-B
T20120028827-A
T20140025495-B
T20170004580-C
T20180015190-A
T20080023791-A
T20100009769-A
T20120013563-A
T20160011156-B
T20140013565-A
T20170012641-B
T20060043644-A
T20130017685-A
T20160005364-B
T20080007422-A
T20140001916-B
T20150007401-A
T20070028582-A
T20070039373-A
T20120028838-A
T20110036328-B
T20140003666-A
T20120027197-A
T20140011707-A
T20100030333-A
T20150004541-A
T20160002740-B
T20090044987-B
T20180005281-A
T20150025885-B
T20140006070-B
T20070034810-B
T20120009188-B
T20130010103-B
T20190005002-C
T20090013510-A
T20100049038-B
T20180008849-A
T20100027823-B
T20090049847-E
T20120028057-A
T20190019125-B
T20200005999-A
T20100001578-B
T20120007836-B
T20100016701-A
T20180020438-A
T20160019278-C
T20140010370-A
T20070022519-A
T20200004951-A
T20180020817-B
T20180001660-A
T20090018750-A
T20120011646-A
T20190015899-A
T20060017217-B
T20100031869-A
T20110010023-B
T20060003694-A
T20180021122-C
T20170023228-A
T20160007496-A
T20080014829-A
T20160004974-A
T20070039498-B
T20090006431-A
T20080007097-B
T20160011343-A
T20160013959-A
T20180013484-A
T20080020713-B
T20070000743-B
T20170020005-A
T20140006704-A
T20130015915-A
T20090005427-B
T20090038250-A
T20140009787-A
T20190019228-B
T20120006684-A
T20160000627-K
T20140015797-C
T20080023604-B
T20160015128-A
T20080027334-A
T20200011225-A
T20140018869-A
T20110000252-B
T20160020094-A
T20160018733-A
T20070040491-A
T20160010147-A
T20080043063-A
T20130020721-A
T20080042740-B
T20140025826-B
T20100011328-A
T20080003740-B
T20080026824-A
T20180023143-B
T20170024814-A
T20130002511-C
T20120000485-B
T20080046581-A
T20170007610-A
T20200003979-B
T20080015919-B
T20090027718-A
T20150001200-B
T20160017743-A
T20080034832-C
T20110014146-A
T20160007197-B
T20120003003-B
T20130010265-B
T20150017412-B
T20180006227-B
T20170012435-A
T20070045990-B
T20160020399-A
T20170010536-A
T20160021825-A
T20080023534-A
T20160010537-B
T20130007553-A
T20120026370-A
T20100003228-A
T20120018192-A
T20180003737-B
T20080028967-A
T20200010327-A
T20150011139-B
T20100048758-A
T20060037903-A
T20140000916-A
T20100052163-A
T20100021050-B
T20170010691-B
T20170012682-A
T20060018872-J
T20140002409-B
T20090021035-D
T20150006594-A
T20080018638-B
T20160023945-A
T20130019671-A
T20110038414-B
T20100040690-B
T20160027683-A
T20100005147-A
T20060005761-A
T20060003114-A
T20160012869-C
T20160015892-A
T20150016901-A
T20110003480-B
T20110039841-B
T20170010123-A
T20150006823-A
T20100048494-A
T20170008460-B
T20120003493-B
T20160006802-A
T20180021481-B
T20190020614-B
T20070033317-A
T20180007241-A
T20120019160-A
T20100040161-B
T20200004711-A
T20160008846-A
T20200000531-C
T20110034050-A
T20090037757-B
T20160008193-A
T20090011911-A
T20170015043-B
T20160020551-A
T20180019478-A
T20090019567-A
T20160007271-A
T20150014727-B
T20130010349-A
T20180017305-A
T20160022430-A
T20140005904-A
T20090009061-B
T20100005079-B
T20170020016-B
T20090027901-A
T20090043122-C
T20110012078-B
T20200007803-A
T20130000933-A
T20120017264-C
T20170011175-B
T20100018176-C
T20090019116-A
T20160004728-A
T20100026342-B
T20060027192-A
T20060027137-A
T20140023515-A
T20130006571-A
T20080019930-B
T20200013310-A
T20110041758-A
T20100019558-A
T20070029774-A
T20090024523-C
T20140012648-B
T20170013594-A
T20090020182-A
T20120025861-A
T20100035992-B
T20070016707-A
T20200014265-B
T20110031353-B
T20180021921-A
T20090013524-A
T20080017783-A
T20170014528-B
T20170020236-A
T20140016862-B
T20140002682-A
T20060025316-A
T20180019450-A
T20150003203-A
T20080040045-A
T20120007000-A
T20150021579-B
T20140016988-B
T20140009439-A
T20120026523-A
T20190023379-B
T20160023230-C
T20140026138-B
T20170015275-A
T20160010479-A
T20080005691-B
T20110002076-A
T20090042081-A
T20130024089-A
T20090014541-C
T20140022354-B
T20090009360-B
T20180009022-A
T20140002632-A
T20150008878-B
T20160002533-A
T20160001374-B
T20110012808-B
T20120021548-A
T20120013884-C
T20090034155-A
T20060007847-B
T20150001408-A
T20100003340-B
T20100034350-B
T20070000794-A
T20080040536-A
T20060007354-A
T20200016008-A
T20150011768-A
T20180023726-A
T20120027117-A
T20170007186-B
T20120009425-A
T20140020413-A
T20200003892-A
T20170001151-A
T20120011944-A
T20110038999-A
T20140018400-B
T20170002003-A
T20140020641-A
T20150003284-B
T20170012903-A
T20070021675-A
T20180002315-B
T20110011365-C
T20170008558-A
T20100023787-A
T20090041569-A
T20140023802-C
T20060028793-B
T20130017940-C
T20150026315-B
T20110035923-A
T20120027942-A
